Date,Equity
5/9/2011,"$88,087.50 "
5/12/2011,"$89,487.50 "
5/13/2011,"$88,137.50 "
5/16/2011,"$88,787.50 "
5/17/2011,"$88,312.50 "
5/19/2011,"$89,462.50 "
5/20/2011,"$89,062.50 "
5/26/2011,"$88,862.50 "
6/2/2011,"$91,187.50 "
6/8/2011,"$88,437.50 "
6/9/2011,"$88,462.50 "
6/10/2011,"$86,462.50 "
6/13/2011,"$86,612.50 "
6/15/2011,"$88,062.50 "
6/16/2011,"$89,087.50 "
6/17/2011,"$85,912.50 "
6/22/2011,"$90,212.50 "
6/23/2011,"$91,712.50 "
6/29/2011,"$98,112.50 "
7/6/2011,"$98,187.50 "
7/8/2011,"$95,837.50 "
7/14/2011,"$94,762.50 "
7/15/2011,"$94,862.50 "
7/18/2011,"$93,012.50 "
7/19/2011,"$92,012.50 "
7/20/2011,"$93,812.50 "
7/25/2011,"$93,687.50 "
7/29/2011,"$88,587.50 "
8/1/2011,"$88,687.50 "
8/3/2011,"$90,412.50 "
8/4/2011,"$86,762.50 "
8/5/2011,"$90,662.50 "
8/8/2011,"$92,162.50 "
8/10/2011,"$91,887.50 "
8/11/2011,"$91,987.50 "
8/12/2011,"$99,137.50 "
8/16/2011,"$98,287.50 "
8/19/2011,"$99,687.50 "
8/22/2011,"$97,012.50 "
8/24/2011,"$100,762.50 "
8/26/2011,"$103,587.50 "
8/30/2011,"$109,975.00 "
8/31/2011,"$106,625.00 "
9/2/2011,"$108,325.00 "
9/8/2011,"$112,275.00 "
9/9/2011,"$113,775.00 "
9/14/2011,"$115,750.00 "
9/19/2011,"$115,850.00 "
9/21/2011,"$111,100.00 "
9/22/2011,"$115,925.00 "
9/27/2011,"$120,725.00 "
9/28/2011,"$125,250.00 "
9/29/2011,"$125,375.00 "
9/30/2011,"$120,625.00 "
10/3/2011,"$121,575.00 "
10/4/2011,"$120,725.00 "
10/6/2011,"$124,425.00 "
10/7/2011,"$124,050.00 "
10/11/2011,"$124,800.00 "
10/12/2011,"$123,400.00 "
10/13/2011,"$120,400.00 "
10/17/2011,"$119,750.00 "
10/18/2011,"$121,350.00 "
10/19/2011,"$123,300.00 "
10/20/2011,"$123,300.00 "
10/25/2011,"$124,550.00 "
10/26/2011,"$124,525.00 "
10/27/2011,"$128,375.00 "
10/28/2011,"$132,775.00 "
10/31/2011,"$134,225.00 "
11/3/2011,"$134,575.00 "
11/4/2011,"$133,425.00 "
11/8/2011,"$132,575.00 "
11/10/2011,"$132,600.00 "
11/14/2011,"$136,000.00 "
11/15/2011,"$136,325.00 "
11/16/2011,"$133,225.00 "
11/21/2011,"$126,800.00 "
11/22/2011,"$126,600.00 "
11/23/2011,"$121,800.00 "
11/25/2011,"$121,875.00 "
11/29/2011,"$127,575.00 "
11/30/2011,"$123,475.00 "
12/1/2011,"$126,125.00 "
12/2/2011,"$125,025.00 "
12/6/2011,"$125,925.00 "
12/12/2011,"$121,725.00 "
12/13/2011,"$120,325.00 "
12/14/2011,"$117,775.00 "
12/19/2011,"$116,725.00 "
12/20/2011,"$115,025.00 "
12/21/2011,"$114,925.00 "
12/27/2011,"$118,000.00 "
12/29/2011,"$119,300.00 "
12/30/2011,"$118,650.00 "
1/3/2012,"$116,300.00 "
1/6/2012,"$115,300.00 "
1/9/2012,"$115,050.00 "
1/11/2012,"$116,650.00 "
1/13/2012,"$115,925.00 "
1/20/2012,"$118,375.00 "
1/23/2012,"$117,400.00 "
1/24/2012,"$117,375.00 "
1/26/2012,"$116,075.00 "
1/27/2012,"$116,250.00 "
1/30/2012,"$114,000.00 "
2/2/2012,"$115,825.00 "
2/3/2012,"$114,200.00 "
2/6/2012,"$113,950.00 "
2/7/2012,"$113,475.00 "
2/8/2012,"$112,375.00 "
2/9/2012,"$111,075.00 "
2/14/2012,"$110,875.00 "
2/21/2012,"$112,175.00 "
2/23/2012,"$112,500.00 "
2/24/2012,"$113,550.00 "
2/27/2012,"$113,175.00 "
2/29/2012,"$112,250.00 "
3/1/2012,"$109,375.00 "
3/2/2012,"$109,425.00 "
3/5/2012,"$110,475.00 "
3/9/2012,"$113,875.00 "
3/13/2012,"$113,075.00 "
3/14/2012,"$116,075.00 "
3/15/2012,"$116,350.00 "
3/16/2012,"$116,900.00 "
3/19/2012,"$116,675.00 "
3/20/2012,"$115,675.00 "
3/21/2012,"$115,325.00 "
3/22/2012,"$113,125.00 "
3/23/2012,"$113,350.00 "
3/27/2012,"$118,150.00 "
3/28/2012,"$119,275.00 "
4/3/2012,"$120,925.00 "
4/4/2012,"$122,475.00 "
4/9/2012,"$119,125.00 "
4/10/2012,"$118,900.00 "
4/13/2012,"$120,000.00 "
4/16/2012,"$120,425.00 "
4/18/2012,"$123,475.00 "
4/19/2012,"$123,675.00 "
4/23/2012,"$118,825.00 "
4/24/2012,"$118,125.00 "
4/26/2012,"$121,575.00 "
4/27/2012,"$120,275.00 "
4/30/2012,"$118,675.00 "
5/1/2012,"$118,725.00 "
5/2/2012,"$115,375.00 "
5/3/2012,"$114,700.00 "
5/8/2012,"$112,700.00 "
5/11/2012,"$109,575.00 "
5/15/2012,"$111,450.00 "
5/16/2012,"$107,750.00 "
5/18/2012,"$109,575.00 "
5/22/2012,"$110,300.00 "
5/23/2012,"$110,400.00 "
5/30/2012,"$109,650.00 "
5/31/2012,"$110,850.00 "
6/4/2012,"$112,150.00 "
6/6/2012,"$115,900.00 "
6/7/2012,"$120,750.00 "
6/8/2012,"$121,050.00 "
6/13/2012,"$121,100.00 "
6/14/2012,"$121,575.00 "
6/18/2012,"$124,175.00 "
6/20/2012,"$124,175.00 "
6/21/2012,"$125,675.00 "
6/22/2012,"$126,862.50 "
6/25/2012,"$124,362.50 "
6/26/2012,"$123,962.50 "
6/28/2012,"$124,812.50 "
7/2/2012,"$126,362.50 "
7/5/2012,"$125,387.50 "
7/6/2012,"$126,537.50 "
7/10/2012,"$123,337.50 "
7/11/2012,"$122,937.50 "
7/12/2012,"$120,937.50 "
7/16/2012,"$120,237.50 "
7/17/2012,"$119,837.50 "
7/19/2012,"$122,637.50 "
7/23/2012,"$124,287.50 "
7/27/2012,"$129,475.00 "
7/30/2012,"$135,125.00 "
7/31/2012,"$135,025.00 "
8/2/2012,"$136,575.00 "
8/7/2012,"$138,675.00 "
8/9/2012,"$138,525.00 "
8/17/2012,"$140,175.00 "
8/21/2012,"$137,875.00 "
8/22/2012,"$137,475.00 "
8/29/2012,"$137,675.00 "
8/31/2012,"$136,650.00 "
9/4/2012,"$135,550.00 "
9/5/2012,"$134,950.00 "
9/6/2012,"$133,350.00 "
9/10/2012,"$135,800.00 "
9/11/2012,"$136,025.00 "
9/12/2012,"$136,075.00 "
9/13/2012,"$134,800.00 "
9/17/2012,"$134,800.00 "
9/18/2012,"$135,150.00 "
9/20/2012,"$132,650.00 "
9/21/2012,"$131,475.00 "
9/24/2012,"$129,675.00 "
9/25/2012,"$129,350.00 "
9/26/2012,"$129,475.00 "
9/28/2012,"$129,275.00 "
10/1/2012,"$128,325.00 "
10/2/2012,"$126,125.00 "
10/3/2012,"$125,500.00 "
10/4/2012,"$123,725.00 "
10/8/2012,"$122,575.00 "
10/9/2012,"$122,850.00 "
10/12/2012,"$120,500.00 "
10/15/2012,"$120,200.00 "
10/18/2012,"$124,550.00 "
10/19/2012,"$127,225.00 "
10/26/2012,"$126,425.00 "
11/2/2012,"$129,300.00 "
11/5/2012,"$130,900.00 "
11/7/2012,"$128,400.00 "
11/8/2012,"$128,800.00 "
11/13/2012,"$128,250.00 "
11/15/2012,"$130,850.00 "
11/19/2012,"$134,600.00 "
11/20/2012,"$138,225.00 "
11/26/2012,"$141,100.00 "
11/28/2012,"$140,725.00 "
11/30/2012,"$142,825.00 "
12/6/2012,"$141,850.00 "
12/7/2012,"$140,900.00 "
12/12/2012,"$139,550.00 "
12/19/2012,"$144,100.00 "
12/20/2012,"$144,775.00 "
12/21/2012,"$142,125.00 "
12/27/2012,"$141,425.00 "
1/2/2013,"$145,575.00 "
1/3/2013,"$150,400.00 "
1/4/2013,"$150,525.00 "
1/7/2013,"$149,575.00 "
1/11/2013,"$150,475.00 "
1/15/2013,"$149,650.00 "
1/16/2013,"$149,200.00 "
1/18/2013,"$148,875.00 "
1/22/2013,"$147,900.00 "
1/23/2013,"$148,500.00 "
1/24/2013,"$147,775.00 "
1/25/2013,"$145,700.00 "
1/28/2013,"$144,825.00 "
1/29/2013,"$144,650.00 "
1/30/2013,"$144,250.00 "
1/31/2013,"$144,400.00 "
2/4/2013,"$145,500.00 "
2/5/2013,"$144,850.00 "
2/6/2013,"$144,700.00 "
2/11/2013,"$144,400.00 "
2/12/2013,"$144,400.00 "
2/13/2013,"$144,600.00 "
2/15/2013,"$144,150.00 "
2/20/2013,"$144,250.00 "
2/21/2013,"$146,325.00 "
2/25/2013,"$148,125.00 "
2/26/2013,"$149,550.00 "
2/28/2013,"$154,550.00 "
3/1/2013,"$154,600.00 "
3/6/2013,"$154,600.00 "
3/8/2013,"$153,900.00 "
3/11/2013,"$154,000.00 "
3/13/2013,"$153,575.00 "
3/15/2013,"$153,925.00 "
3/18/2013,"$154,225.00 "
3/19/2013,"$153,900.00 "
3/21/2013,"$153,100.00 "
3/22/2013,"$153,350.00 "
3/25/2013,"$152,450.00 "
3/26/2013,"$151,750.00 "
3/27/2013,"$150,950.00 "
4/1/2013,"$149,800.00 "
4/2/2013,"$148,775.00 "
4/3/2013,"$147,375.00 "
4/4/2013,"$147,825.00 "
4/5/2013,"$144,625.00 "
4/11/2013,"$147,750.00 "
4/12/2013,"$151,950.00 "
4/17/2013,"$150,600.00 "
4/18/2013,"$150,950.00 "
4/22/2013,"$153,150.00 "
4/25/2013,"$150,950.00 "
4/26/2013,"$150,950.00 "
4/30/2013,"$149,750.00 "
5/2/2013,"$149,800.00 "
5/6/2013,"$153,250.00 "
5/7/2013,"$152,475.00 "
5/8/2013,"$152,875.00 "
5/13/2013,"$152,025.00 "
5/14/2013,"$150,700.00 "
5/15/2013,"$151,150.00 "
5/17/2013,"$150,675.00 "
5/20/2013,"$152,675.00 "
5/21/2013,"$152,150.00 "
5/22/2013,"$150,900.00 "
5/23/2013,"$152,400.00 "
5/29/2013,"$148,812.50 "
5/30/2013,"$147,662.50 "
5/31/2013,"$146,312.50 "
6/3/2013,"$148,887.50 "
6/4/2013,"$145,437.50 "
