"Date","Time","Open","High","Low","Close","Vol","OI","exHurst1","exHurst2","xh4","exHurst1","exHurst2","xh5","p","xH1","xH2","Signal","Price","BarsAgo","BuildTime","Wavelength","dZ","edge%","~Hit%","~CallStrike","~PutStrike","MaxRetDate","x_est","ZMA","Upper Band","Lower Band"
07/12/2018,17:00,62.46,63.10,61.09,62.19,707887,220606,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.98,65.57,0.00,0.00
07/13/2018,17:00,62.24,63.52,61.70,62.87,530277,172793,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.10,65.23,0.00,0.00
07/16/2018,17:00,62.38,62.73,59.44,59.92,530480,144263,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.10,64.67,0.00,0.00
07/17/2018,17:00,59.89,60.30,58.89,59.94,412805,86325,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.99,63.96,0.00,0.00
07/18/2018,17:00,59.50,60.79,59.07,60.53,472612,474641,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.82,63.21,0.00,0.00
07/19/2018,17:00,60.74,61.57,59.40,61.02,719522,472462,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.64,62.53,0.00,0.00
07/20/2018,17:00,60.81,61.69,60.47,61.04,500967,481171,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.46,61.97,0.00,0.00
07/23/2018,17:00,60.95,62.09,60.38,60.67,555915,460205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.30,61.52,0.00,0.00
07/24/2018,17:00,60.58,61.83,60.34,61.30,524591,454919,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.15,61.20,0.00,0.00
07/25/2018,17:00,61.55,62.48,60.98,62.08,622913,453243,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.04,61.04,0.00,0.00
