#,Type,Date/Time,Signal,Symbol,Price,Roll Over Amt (USD),Profit/Loss,Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage
,Sell,4/15/2014 10:30,_LX..,@ES,"$1,767.25 ",,($650.00),"$21,500.00 ",,"($3,650.00)",52.63%,-11.40%,$0.00 ,$0.00 
81,Buy,4/15/2014 16:00,Easy_LE,@ES,"$1,780.00 ",$0.00 ,4,"$3,250.00 ",0.91%,"$4,000.00 ",100.00%,,$0.00 ,$0.00 
,Sell,4/17/2014 10:00,_LX..,@ES,"$1,796.25 ",,"$3,250.00 ","$24,750.00 ",,$0.00 ,81.25%,81.25%,$0.00 ,$0.00 
82,Buy,4/22/2014 11:00,Easy_LE,@ES,"$1,817.50 ",$0.00 ,4,($600.00),-0.17%,$950.00 ,50.00%,,$0.00 ,$0.00 
,Sell,4/23/2014 10:00,_LX..,@ES,"$1,814.50 ",,($600.00),"$24,150.00 ",,($950.00),18.42%,-31.58%,$0.00 ,$0.00 
83,Buy,4/29/2014 10:00,Easy_LE,@ES,"$1,815.25 ",$0.00 ,4,($600.00),-0.17%,$700.00 ,35.00%,,$0.00 ,$0.00 
,Sell,4/30/2014 10:00,_LX..,@ES,"$1,812.25 ",,($600.00),"$23,550.00 ",,"($1,300.00)",35.00%,-30.00%,$0.00 ,$0.00 
84,Buy,5/1/2014 12:00,Easy_LE,@ES,"$1,822.75 ",$0.00 ,4,"($2,250.00)",-0.62%,"$1,300.00 ",25.74%,,$0.00 ,$0.00 
,Sell,5/5/2014 10:00,_LX..,@ES,"$1,811.50 ",,"($2,250.00)","$21,300.00 ",,"($3,750.00)",29.70%,-44.55%,$0.00 ,$0.00 
85,Buy,5/7/2014 13:00,Easy_LE,@ES,"$1,809.00 ",$0.00 ,4,($50.00),-0.01%,"$3,850.00 ",87.50%,,$0.00 ,$0.00 
,Sell,5/9/2014 10:00,Easy_SX,@ES,"$1,808.75 ",,($50.00),"$21,250.00 ",,($550.00),11.36%,-1.14%,$0.00 ,$0.00 
86,Buy,5/12/2014 10:00,Easy_LE,@ES,"$1,831.00 ",$0.00 ,4,"$1,350.00 ",0.37%,"$1,950.00 ",92.86%,,$0.00 ,$0.00 
,Sell,5/13/2014 10:00,_LX..,@ES,"$1,837.75 ",,"$1,350.00 ","$22,600.00 ",,($150.00),71.43%,64.29%,$0.00 ,$0.00 
87,Buy,5/16/2014 12:30,Easy_LE,@ES,"$1,811.75 ",$0.00 ,4,"$1,350.00 ",0.37%,"$2,950.00 ",79.73%,,$0.00 ,$0.00 
,Sell,5/20/2014 10:00,_LX..,@ES,"$1,818.50 ",,"$1,350.00 ","$23,950.00 ",,($750.00),56.76%,36.49%,$0.00 ,$0.00 
88,Buy,5/21/2014 12:00,Easy_LE,@ES,"$1,821.75 ",$0.00 ,4,"$6,000.00 ",1.65%,"$6,650.00 ",97.79%,,$0.00 ,$0.00 
,Sell,5/28/2014 10:00,_LX..,@ES,"$1,851.75 ",,"$6,000.00 ","$29,950.00 ",,($150.00),90.44%,88.24%,$0.00 ,$0.00 
89,Buy,5/29/2014 15:30,Easy_LE,@ES,"$1,860.75 ",$0.00 ,4,$250.00 ,0.07%,$400.00 ,40.00%,,$0.00 ,$0.00 
,Sell,5/30/2014 10:30,Easy_SX,@ES,"$1,862.00 ",,$250.00 ,"$30,200.00 ",,($600.00),85.00%,25.00%,$0.00 ,$0.00 
90,Buy,6/4/2014 14:30,Easy_LE,@ES,"$1,869.00 ",$0.00 ,4,"$4,250.00 ",1.14%,"$5,850.00 ",86.67%,,$0.00 ,$0.00 
,Sell,6/9/2014 14:30,Easy_SX,@ES,"$1,890.25 ",,"$4,250.00 ","$34,450.00 ",,($900.00),76.30%,62.96%,$0.00 ,$0.00 
91,Buy,6/13/2014 11:30,Easy_LE,@ES,"$1,878.00 ",$0.00 ,4,"$1,150.00 ",0.31%,"$1,950.00 ",68.42%,,$0.00 ,$0.00 
,Sell,6/18/2014 12:30,Easy_SX,@ES,"$1,883.75 ",,"$1,150.00 ","$35,600.00 ",,($900.00),71.93%,40.35%,$0.00 ,$0.00 
92,Buy,6/18/2014 15:30,Easy_LE,@ES,"$1,896.50 ",$0.00 ,4,"$1,250.00 ",0.33%,"$1,950.00 ",84.78%,,$0.00 ,$0.00 
,Sell,6/20/2014 10:30,Easy_SX,@ES,"$1,902.75 ",,"$1,250.00 ","$36,850.00 ",,($350.00),69.57%,54.35%,$0.00 ,$0.00 
93,Buy,6/20/2014 12:30,Easy_LE,@ES,"$1,904.00 ",$0.00 ,4,$50.00 ,0.01%,$100.00 ,50.00%,,$0.00 ,$0.00 
,Sell,6/20/2014 13:00,c_LX...,@ES,"$1,904.25 ",,$50.00 ,"$36,900.00 ",,($100.00),75.00%,25.00%,$0.00 ,$0.00 
94,Buy,6/24/2014 11:30,Easy_LE,@ES,"$1,909.50 ",$0.00 ,4,"($3,350.00)",-0.88%,$50.00 ,1.30%,,$0.00 ,$0.00 
,Sell,6/24/2014 16:00,c_LX...,@ES,"$1,892.75 ",,"($3,350.00)","$33,550.00 ",,"($3,800.00)",11.69%,-87.01%,$0.00 ,$0.00 
95,Buy,6/25/2014 11:30,Easy_LE,@ES,"$1,898.25 ",$0.00 ,4,"($1,600.00)",-0.42%,"$1,150.00 ",33.82%,,$0.00 ,$0.00 
,Sell,6/26/2014 10:00,_LX..,@ES,"$1,890.25 ",,"($1,600.00)","$31,950.00 ",,"($2,250.00)",19.12%,-47.06%,$0.00 ,$0.00 
96,Buy,6/27/2014 12:00,Easy_LE,@ES,"$1,899.75 ",$0.00 ,4,"$3,500.00 ",0.92%,"$4,550.00 ",81.25%,,$0.00 ,$0.00 
,Sell,7/2/2014 10:00,_LX..,@ES,"$1,917.25 ",,"$3,500.00 ","$35,450.00 ",,"($1,050.00)",81.25%,62.50%,$0.00 ,$0.00 
97,Buy,7/9/2014 11:00,Easy_LE,@ES,"$1,914.25 ",$0.00 ,4,"($2,850.00)",-0.74%,$950.00 ,21.11%,,$0.00 ,$0.00 
,Sell,7/10/2014 10:00,_LX..,@ES,"$1,900.00 ",,"($2,850.00)","$32,600.00 ",,"($3,550.00)",15.56%,-63.33%,$0.00 ,$0.00 
98,Buy,7/11/2014 13:30,Easy_LE,@ES,"$1,910.25 ",$0.00 ,4,"$2,200.00 ",0.58%,"$3,350.00 ",91.78%,,$0.00 ,$0.00 
,Sell,7/15/2014 10:30,_LX..,@ES,"$1,921.25 ",,"$2,200.00 ","$34,800.00 ",,($300.00),68.49%,60.27%,$0.00 ,$0.00 
99,Buy,7/16/2014 13:30,Easy_LE,@ES,"$1,926.00 ",$0.00 ,4,"($2,350.00)",-0.61%,$300.00 ,10.00%,,$0.00 ,$0.00 
,Sell,7/17/2014 12:00,c_LX...,@ES,"$1,914.25 ",,"($2,350.00)","$32,450.00 ",,"($2,700.00)",11.67%,-78.33%,$0.00 ,$0.00 
100,Buy,7/18/2014 11:30,Easy_LE,@ES,"$1,915.00 ",$0.00 ,4,$500.00 ,0.13%,"$2,000.00 ",90.91%,,$0.00 ,$0.00 
,Sell,7/21/2014 10:00,_LX..,@ES,"$1,917.50 ",,$500.00 ,"$32,950.00 ",,($200.00),31.82%,22.73%,$0.00 ,$0.00 
101,Buy,7/22/2014 11:30,Easy_LE,@ES,"$1,929.00 ",$0.00 ,4,($100.00),-0.03%,$550.00 ,45.83%,,$0.00 ,$0.00 
,Sell,7/23/2014 10:00,_LX..,@ES,"$1,928.50 ",,($100.00),"$32,850.00 ",,($650.00),45.83%,-8.33%,$0.00 ,$0.00 
102,Buy,7/29/2014 10:30,Easy_LE,@ES,"$1,929.25 ",$0.00 ,4,"($4,100.00)",-1.06%,$100.00 ,2.30%,,$0.00 ,$0.00 
,Sell,7/30/2014 12:00,c_LX...,@ES,"$1,908.75 ",,"($4,100.00)","$28,750.00 ",,"($4,250.00)",3.45%,-94.25%,$0.00 ,$0.00 
103,Buy,8/1/2014 15:30,Easy_LE,@ES,"$1,873.25 ",$0.00 ,4,$100.00 ,0.03%,"$3,000.00 ",65.93%,,$0.00 ,$0.00 
,Sell,8/5/2014 10:00,_LX..,@ES,"$1,873.75 ",,$100.00 ,"$28,850.00 ",,"($1,550.00)",36.26%,2.20%,$0.00 ,$0.00 
104,Buy,8/6/2014 11:00,Easy_LE,@ES,"$1,872.25 ",$0.00 ,4,"$2,550.00 ",0.68%,"$3,900.00 ",47.27%,,$0.00 ,$0.00 
,Sell,8/12/2014 10:00,_LX..,@ES,"$1,885.00 ",,"$2,550.00 ","$31,400.00 ",,"($4,350.00)",83.64%,30.91%,$0.00 ,$0.00 
105,Buy,8/13/2014 13:30,Easy_LE,@ES,"$1,893.50 ",$0.00 ,4,"$1,100.00 ",0.29%,"$3,650.00 ",89.02%,,$0.00 ,$0.00 
,Sell,8/15/2014 11:00,_LX..,@ES,"$1,899.00 ",,"$1,100.00 ","$32,500.00 ",,($450.00),37.80%,26.83%,$0.00 ,$0.00 
106,Buy,8/18/2014 11:30,Easy_LE,@ES,"$1,918.25 ",$0.00 ,4,"$2,100.00 ",0.55%,"$2,450.00 ",87.50%,,$0.00 ,$0.00 
,Sell,8/20/2014 10:00,Easy_SX,@ES,"$1,928.75 ",,"$2,100.00 ","$34,600.00 ",,($350.00),87.50%,75.00%,$0.00 ,$0.00 
107,Buy,8/21/2014 15:30,Easy_LE,@ES,"$1,941.75 ",$0.00 ,4,($700.00),-0.18%,$50.00 ,3.57%,,$0.00 ,$0.00 
,Sell,8/22/2014 10:00,Easy_SX,@ES,"$1,938.25 ",,($700.00),"$33,900.00 ",,"($1,350.00)",46.43%,-50.00%,$0.00 ,$0.00 
108,Buy,8/25/2014 11:30,Easy_LE,@ES,"$1,950.25 ",$0.00 ,4,($450.00),-0.12%,$650.00 ,32.50%,,$0.00 ,$0.00 
,Sell,8/27/2014 12:30,Easy_SX,@ES,"$1,948.00 ",,($450.00),"$33,450.00 ",,"($1,350.00)",45.00%,-22.50%,$0.00 ,$0.00 
109,Buy,8/29/2014 12:30,Easy_LE,@ES,"$1,950.25 ",$0.00 ,4,"($1,150.00)",-0.29%,$950.00 ,44.19%,,$0.00 ,$0.00 
,Sell,9/2/2014 13:00,Easy_SX,@ES,"$1,944.50 ",,"($1,150.00)","$32,300.00 ",,"($1,200.00)",2.33%,-53.49%,$0.00 ,$0.00 
110,Buy,9/4/2014 11:00,Easy_LE,@ES,"$1,959.50 ",$0.00 ,4,"($2,900.00)",-0.74%,$250.00 ,6.49%,,$0.00 ,$0.00 
,Sell,9/4/2014 15:30,c_LX...,@ES,"$1,945.00 ",,"($2,900.00)","$29,400.00 ",,"($3,600.00)",18.18%,-75.32%,$0.00 ,$0.00 
111,Buy,9/5/2014 14:00,Easy_LE,@ES,"$1,952.25 ",$0.00 ,4,$400.00 ,0.10%,$950.00 ,67.86%,,$0.00 ,$0.00 
,Sell,9/8/2014 11:30,Easy_SX,@ES,"$1,954.25 ",,$400.00 ,"$29,800.00 ",,($450.00),60.71%,28.57%,$0.00 ,$0.00 
112,Buy,9/10/2014 14:30,Easy_LE,@ES,"$1,943.50 ",$0.00 ,4,($700.00),-0.18%,"$1,000.00 ",40.00%,,$0.00 ,$0.00 
,Sell,9/12/2014 10:00,_LX..,@ES,"$1,940.00 ",,($700.00),"$29,100.00 ",,"($1,500.00)",32.00%,-28.00%,$0.00 ,$0.00 
113,Buy,9/16/2014 10:00,Easy_LE,@ES,"$1,937.25 ",$0.00 ,4,"$5,000.00 ",1.29%,"$6,850.00 ",94.48%,,$0.00 ,$0.00 
,Sell,9/19/2014 12:30,Easy_SX,@ES,"$1,962.25 ",,"$5,000.00 ","$34,100.00 ",,($400.00),74.48%,68.97%,$0.00 ,$0.00 
114,Buy,9/24/2014 11:30,Easy_LE,@ES,"$1,942.75 ",$0.00 ,4,"($1,650.00)",-0.42%,"$1,700.00 ",45.95%,,$0.00 ,$0.00 
,Sell,9/25/2014 10:00,_LX..,@ES,"$1,934.50 ",,"($1,650.00)","$32,450.00 ",,"($2,000.00)",9.46%,-44.59%,$0.00 ,$0.00 
115,Buy,9/26/2014 12:00,Easy_LE,@ES,"$1,920.75 ",$0.00 ,4,($200.00),-0.05%,"$3,450.00 ",72.63%,,$0.00 ,$0.00 
,Sell,9/29/2014 10:00,_LX..,@ES,"$1,919.75 ",,($200.00),"$32,250.00 ",,"($1,300.00)",23.16%,-4.21%,$0.00 ,$0.00 
116,Buy,9/30/2014 11:30,Easy_LE,@ES,"$1,936.00 ",$0.00 ,4,"($2,450.00)",-0.63%,$150.00 ,4.41%,,$0.00 ,$0.00 
,Sell,9/30/2014 14:30,c_LX...,@ES,"$1,923.75 ",,"($2,450.00)","$29,800.00 ",,"($3,250.00)",23.53%,-72.06%,$0.00 ,$0.00 
117,Buy,10/2/2014 14:30,Easy_LE,@ES,"$1,900.50 ",$0.00 ,4,"$2,600.00 ",0.68%,"$5,850.00 ",85.40%,,$0.00 ,$0.00 
,Sell,10/6/2014 12:00,_LX..,@ES,"$1,913.50 ",,"$2,600.00 ","$32,400.00 ",,"($1,000.00)",52.55%,37.96%,$0.00 ,$0.00 
118,Buy,10/8/2014 15:00,Easy_LE,@ES,"$1,909.75 ",$0.00 ,4,$200.00 ,0.05%,"$2,600.00 ",91.23%,,$0.00 ,$0.00 
,Sell,10/9/2014 10:00,_LX..,@ES,"$1,910.75 ",,$200.00 ,"$32,600.00 ",,($250.00),15.79%,7.02%,$0.00 ,$0.00 
119,Buy,10/13/2014 11:00,Easy_LE,@ES,"$1,850.00 ",$0.00 ,4,"($7,700.00)",-2.08%,"$2,950.00 ",19.54%,,$0.00 ,$0.00 
,Sell,10/15/2014 10:00,_LX..,@ES,"$1,811.50 ",,"($7,700.00)","$24,900.00 ",,"($12,150.00)",29.47%,-50.99%,$0.00 ,$0.00 
120,Buy,10/16/2014 12:30,Easy_LE,@ES,"$1,809.00 ",$0.00 ,2,"$3,500.00 ",1.93%,"$3,500.00 ",90.91%,,$0.00 ,$0.00 
,Sell,10/17/2014 10:30,T1_LX...,@ES,"$1,844.00 ",,"$3,500.00 ","$28,400.00 ",,($350.00),100.00%,90.91%,$0.00 ,$0.00 
121,Buy,10/16/2014 12:30,Easy_LE,@ES,"$1,809.00 ",$0.00 ,2,"$8,625.00 ",4.77%,"$9,300.00 ",96.37%,,$0.00 ,$0.00 
,Sell,10/22/2014 12:30,Easy_SX,@ES,"$1,895.25 ",,"$8,625.00 ","$37,025.00 ",,($350.00),93.01%,89.38%,$0.00 ,$0.00 
122,Buy,10/28/2014 12:00,Easy_LE,@ES,"$1,922.75 ",$0.00 ,4,"$3,200.00 ",0.83%,"$4,350.00 ",96.67%,,$0.00 ,$0.00 
,Sell,10/29/2014 10:30,_LX..,@ES,"$1,938.75 ",,"$3,200.00 ","$40,225.00 ",,($150.00),74.44%,71.11%,$0.00 ,$0.00 
123,Buy,10/30/2014 14:30,Easy_LE,@ES,"$1,947.25 ",$0.00 ,4,"$4,950.00 ",1.27%,"$5,300.00 ",77.94%,,$0.00 ,$0.00 
,Sell,11/3/2014 10:00,_LX..,@ES,"$1,972.00 ",,"$4,950.00 ","$45,175.00 ",,"($1,500.00)",94.85%,72.79%,$0.00 ,$0.00 
124,Buy,11/5/2014 13:30,Easy_LE,@ES,"$1,974.50 ",$0.00 ,4,"$1,250.00 ",0.32%,"$1,450.00 ",59.18%,,$0.00 ,$0.00 
,Sell,11/6/2014 11:30,Easy_SX,@ES,"$1,980.75 ",,"$1,250.00 ","$46,425.00 ",,"($1,000.00)",91.84%,51.02%,$0.00 ,$0.00 
125,Buy,11/6/2014 13:30,Easy_LE,@ES,"$1,982.50 ",$0.00 ,4,"$1,900.00 ",0.48%,"$2,250.00 ",77.59%,,$0.00 ,$0.00 
,Sell,11/10/2014 15:00,Easy_SX,@ES,"$1,992.00 ",,"$1,900.00 ","$48,325.00 ",,($650.00),87.93%,65.52%,$0.00 ,$0.00 
126,Buy,11/14/2014 13:00,Easy_LE,@ES,"$1,994.25 ",$0.00 ,4,($300.00),-0.08%,$850.00 ,50.00%,,$0.00 ,$0.00 
,Sell,11/17/2014 12:00,c_LX...,@ES,"$1,992.75 ",,($300.00),"$48,025.00 ",,($850.00),32.35%,-17.65%,$0.00 ,$0.00 
127,Buy,11/18/2014 10:00,Easy_LE,@ES,"$2,005.25 ",$0.00 ,4,($600.00),-0.15%,"$1,500.00 ",62.50%,,$0.00 ,$0.00 
,Sell,11/19/2014 10:00,_LX..,@ES,"$2,002.25 ",,($600.00),"$47,425.00 ",,($900.00),12.50%,-25.00%,$0.00 ,$0.00 
128,Buy,11/20/2014 12:00,Easy_LE,@ES,"$2,008.75 ",$0.00 ,4,"$3,200.00 ",0.80%,"$4,450.00 ",89.00%,,$0.00 ,$0.00 
,Sell,11/24/2014 13:30,Easy_SX,@ES,"$2,024.75 ",,"$3,200.00 ","$50,625.00 ",,($550.00),75.00%,64.00%,$0.00 ,$0.00 
129,Buy,12/2/2014 11:30,Easy_LE,@ES,"$2,020.75 ",$0.00 ,4,"$1,350.00 ",0.33%,"$2,800.00 ",87.50%,,$0.00 ,$0.00 
,Sell,12/4/2014 10:00,_LX..,@ES,"$2,027.50 ",,"$1,350.00 ","$51,975.00 ",,($400.00),54.69%,42.19%,$0.00 ,$0.00 
130,Buy,12/5/2014 13:30,Easy_LE,@ES,"$2,035.25 ",$0.00 ,4,($250.00),-0.06%,$200.00 ,10.00%,,$0.00 ,$0.00 
,Sell,12/8/2014 10:30,Easy_SX,@ES,"$2,034.00 ",,($250.00),"$51,725.00 ",,"($1,800.00)",77.50%,-12.50%,$0.00 ,$0.00 
131,Buy,12/9/2014 15:30,Easy_LE,@ES,"$2,014.50 ",$0.00 ,4,"($1,600.00)",-0.40%,"$1,000.00 ",32.79%,,$0.00 ,$0.00 
,Sell,12/10/2014 10:00,_LX..,@ES,"$2,006.50 ",,"($1,600.00)","$50,125.00 ",,"($2,050.00)",14.75%,-52.46%,$0.00 ,$0.00 
132,Buy,12/11/2014 11:00,Easy_LE,@ES,"$2,010.25 ",$0.00 ,4,"($4,000.00)",-0.99%,"$1,000.00 ",13.16%,,$0.00 ,$0.00 
,Sell,12/12/2014 10:00,_LX..,@ES,"$1,990.25 ",,"($4,000.00)","$46,125.00 ",,"($6,600.00)",34.21%,-52.63%,$0.00 ,$0.00 
133,Buy,12/16/2014 11:30,Easy_LE,@ES,"$1,972.50 ",$0.00 ,2,"$3,500.00 ",1.77%,"$3,500.00 ",46.05%,,$0.00 ,$0.00 
,Sell,12/18/2014 13:00,T1_LX...,@ES,"$2,007.50 ",,"$3,500.00 ","$49,625.00 ",,"($4,100.00)",100.00%,46.05%,$0.00 ,$0.00 
134,Buy,12/16/2014 11:30,Easy_LE,@ES,"$1,972.50 ",$0.00 ,2,"$5,575.00 ",2.83%,"$5,850.00 ",58.79%,,$0.00 ,$0.00 
,Sell,12/19/2014 10:00,_LX..,@ES,"$2,028.25 ",,"$5,575.00 ","$55,200.00 ",,"($4,100.00)",97.24%,56.03%,$0.00 ,$0.00 
135,Buy,12/23/2014 12:30,Easy_LE,@ES,"$2,044.75 ",$0.00 ,4,$550.00 ,0.13%,$700.00 ,60.87%,,$0.00 ,$0.00 
,Sell,12/24/2014 10:30,Easy_SX,@ES,"$2,047.50 ",,$550.00 ,"$55,750.00 ",,($450.00),86.96%,47.83%,$0.00 ,$0.00 
136,Buy,12/26/2014 11:30,Easy_LE,@ES,"$2,051.50 ",$0.00 ,4,$350.00 ,0.09%,$600.00 ,38.71%,,$0.00 ,$0.00 
,Sell,12/29/2014 12:00,Easy_SX,@ES,"$2,053.25 ",,$350.00 ,"$56,100.00 ",,($950.00),83.87%,22.58%,$0.00 ,$0.00 
137,Buy,1/7/2015 10:30,Easy_LE,@ES,"$1,978.75 ",$0.00 ,2,"$3,500.00 ",1.77%,"$3,500.00 ",80.92%,,$0.00 ,$0.00 
,Sell,1/8/2015 10:30,T1_LX...,@ES,"$2,013.75 ",,"$3,500.00 ","$59,600.00 ",,($825.00),100.00%,80.92%,$0.00 ,$0.00 
138,Buy,1/7/2015 10:30,Easy_LE,@ES,"$1,978.75 ",$0.00 ,2,"$3,350.00 ",1.69%,"$4,800.00 ",85.33%,,$0.00 ,$0.00 
,Sell,1/9/2015 10:00,_LX..,@ES,"$2,012.25 ",,"$3,350.00 ","$62,950.00 ",,($825.00),74.22%,59.56%,$0.00 ,$0.00 
139,Buy,1/13/2015 11:00,Easy_LE,@ES,"$2,014.00 ",$0.00 ,4,"($7,300.00)",-1.81%,$50.00 ,0.60%,,$0.00 ,$0.00 
,Sell,1/13/2015 14:00,_LX..,@ES,"$1,977.50 ",,"($7,300.00)","$55,650.00 ",,"($8,350.00)",12.50%,-86.90%,$0.00 ,$0.00 
140,Buy,1/16/2015 10:30,Easy_LE,@ES,"$1,956.25 ",$0.00 ,4,"$3,250.00 ",0.83%,"$6,550.00 ",96.32%,,$0.00 ,$0.00 
,Sell,1/20/2015 10:00,_LX..,@ES,"$1,972.50 ",,"$3,250.00 ","$58,900.00 ",,($250.00),51.47%,47.79%,$0.00 ,$0.00 
141,Buy,1/21/2015 11:30,Easy_LE,@ES,"$1,993.00 ",$0.00 ,4,"$4,850.00 ",1.22%,"$6,400.00 ",74.42%,,$0.00 ,$0.00 
,Sell,1/23/2015 10:00,_LX..,@ES,"$2,017.25 ",,"$4,850.00 ","$63,750.00 ",,"($2,200.00)",81.98%,56.40%,$0.00 ,$0.00 
142,Buy,1/26/2015 14:00,Easy_LE,@ES,"$2,016.25 ",$0.00 ,4,"($5,200.00)",-1.29%,$250.00 ,4.13%,,$0.00 ,$0.00 
,Sell,1/27/2015 10:00,_LX..,@ES,"$1,990.25 ",,"($5,200.00)","$58,550.00 ",,"($5,800.00)",9.92%,-85.95%,$0.00 ,$0.00 
143,Buy,1/29/2015 15:00,Easy_LE,@ES,"$1,972.50 ",$0.00 ,4,"($1,550.00)",-0.39%,"$2,400.00 ",47.06%,,$0.00 ,$0.00 
,Sell,1/30/2015 11:30,c_LX...,@ES,"$1,964.75 ",,"($1,550.00)","$57,000.00 ",,"($2,700.00)",22.55%,-30.39%,$0.00 ,$0.00 
144,Buy,2/2/2015 11:30,Easy_LE,@ES,"$1,963.25 ",$0.00 ,2,"$3,500.00 ",1.78%,"$3,500.00 ",71.43%,,$0.00 ,$0.00 
,Sell,2/3/2015 10:00,T1_LX...,@ES,"$1,998.25 ",,"$3,500.00 ","$60,500.00 ",,"($1,400.00)",100.00%,71.43%,$0.00 ,$0.00 
145,Buy,2/2/2015 11:30,Easy_LE,@ES,"$1,963.25 ",$0.00 ,2,"$4,050.00 ",2.06%,"$4,650.00 ",76.86%,,$0.00 ,$0.00 
,Sell,2/4/2015 10:00,_LX..,@ES,"$2,003.75 ",,"$4,050.00 ","$64,550.00 ",,"($1,400.00)",90.08%,66.94%,$0.00 ,$0.00 
146,Buy,2/5/2015 11:30,Easy_LE,@ES,"$2,018.00 ",$0.00 ,4,"$1,650.00 ",0.41%,"$2,200.00 ",74.58%,,$0.00 ,$0.00 
,Sell,2/6/2015 10:00,_LX..,@ES,"$2,026.25 ",,"$1,650.00 ","$66,200.00 ",,($750.00),81.36%,55.93%,$0.00 ,$0.00 
147,Buy,2/10/2015 16:00,Easy_LE,@ES,"$2,029.00 ",$0.00 ,4,($450.00),-0.11%,$300.00 ,28.57%,,$0.00 ,$0.00 
,Sell,2/11/2015 10:30,c_LX...,@ES,"$2,026.75 ",,($450.00),"$65,750.00 ",,($750.00),28.57%,-42.86%,$0.00 ,$0.00 
148,Buy,2/12/2015 10:30,Easy_LE,@ES,"$2,041.25 ",$0.00 ,4,"$2,900.00 ",0.71%,"$3,650.00 ",90.12%,,$0.00 ,$0.00 
,Sell,2/17/2015 10:00,_LX..,@ES,"$2,055.75 ",,"$2,900.00 ","$68,650.00 ",,($400.00),81.48%,71.60%,$0.00 ,$0.00 
149,Buy,2/20/2015 12:30,Easy_LE,@ES,"$2,058.75 ",$0.00 ,4,"$1,900.00 ",0.46%,"$3,150.00 ",91.30%,,$0.00 ,$0.00 
,Sell,2/23/2015 10:00,_LX..,@ES,"$2,068.25 ",,"$1,900.00 ","$70,550.00 ",,($300.00),63.77%,55.07%,$0.00 ,$0.00 
150,Buy,2/24/2015 11:00,Easy_LE,@ES,"$2,076.25 ",$0.00 ,4,"($1,250.00)",-0.30%,"$1,450.00 ",51.79%,,$0.00 ,$0.00 
,Sell,2/26/2015 10:00,_LX..,@ES,"$2,070.00 ",,"($1,250.00)","$69,300.00 ",,"($1,350.00)",3.57%,-44.64%,$0.00 ,$0.00 
151,Buy,2/27/2015 12:30,Easy_LE,@ES,"$2,076.25 ",$0.00 ,4,"($1,350.00)",-0.33%,"$1,000.00 ",35.71%,,$0.00 ,$0.00 
,Sell,3/3/2015 10:00,_LX..,@ES,"$2,069.50 ",,"($1,350.00)","$67,950.00 ",,"($1,800.00)",16.07%,-48.21%,$0.00 ,$0.00 
152,Buy,3/5/2015 11:30,Easy_LE,@ES,"$2,064.50 ",$0.00 ,4,"($1,150.00)",-0.28%,$550.00 ,19.30%,,$0.00 ,$0.00 
,Sell,3/6/2015 10:00,_LX..,@ES,"$2,058.75 ",,"($1,150.00)","$66,800.00 ",,"($2,300.00)",40.35%,-40.35%,$0.00 ,$0.00 
153,Buy,3/9/2015 12:00,Easy_LE,@ES,"$2,041.00 ",$0.00 ,4,"($3,500.00)",-0.86%,"$1,450.00 ",25.89%,,$0.00 ,$0.00 
,Sell,3/10/2015 10:00,_LX..,@ES,"$2,023.50 ",,"($3,500.00)","$63,300.00 ",,"($4,150.00)",11.61%,-62.50%,$0.00 ,$0.00 
154,Buy,3/11/2015 11:30,Easy_LE,@ES,"$2,012.50 ",$0.00 ,4,"$2,550.00 ",0.63%,"$3,950.00 ",69.91%,,$0.00 ,$0.00 
,Sell,3/13/2015 10:00,_LX..,@ES,"$2,025.25 ",,"$2,550.00 ","$65,850.00 ",,"($1,700.00)",75.22%,45.13%,$0.00 ,$0.00 
155,Buy,3/16/2015 12:00,Easy_LE,@ES,"$2,041.00 ",$0.00 ,4,"($1,100.00)",-0.27%,"$1,250.00 ",41.67%,,$0.00 ,$0.00 
,Sell,3/17/2015 10:00,_LX..,@ES,"$2,035.50 ",,"($1,100.00)","$64,750.00 ",,"($1,750.00)",21.67%,-36.67%,$0.00 ,$0.00 
156,Buy,3/18/2015 14:30,Easy_LE,@ES,"$2,057.25 ",$0.00 ,4,$400.00 ,0.10%,"$3,150.00 ",85.14%,,$0.00 ,$0.00 
,Sell,3/19/2015 10:00,_LX..,@ES,"$2,059.25 ",,$400.00 ,"$65,150.00 ",,($550.00),25.68%,10.81%,$0.00 ,$0.00 
157,Buy,3/20/2015 11:00,Easy_LE,@ES,"$2,072.00 ",$0.00 ,4,($600.00),-0.14%,"$1,650.00 ",50.00%,,$0.00 ,$0.00 
,Sell,3/24/2015 10:00,_LX..,@ES,"$2,069.00 ",,($600.00),"$64,550.00 ",,"($1,650.00)",31.82%,-18.18%,$0.00 ,$0.00 
158,Buy,3/27/2015 11:30,Easy_LE,@ES,"$2,024.75 ",$0.00 ,4,"$3,400.00 ",0.84%,"$6,050.00 ",88.32%,,$0.00 ,$0.00 
,Sell,3/31/2015 10:00,_LX..,@ES,"$2,041.75 ",,"$3,400.00 ","$67,950.00 ",,($800.00),61.31%,49.64%,$0.00 ,$0.00 
159,Buy,4/2/2015 10:30,Easy_LE,@ES,"$2,033.00 ",$0.00 ,4,"$3,250.00 ",0.80%,"$4,400.00 ",63.31%,,$0.00 ,$0.00 
